Province;Municipality_code;Municipality_name;Total
BARCELONA;8001;ABRERA;516
BARCELONA;8002;AGUILAR DE SEGARRA;10
BARCELONA;8014;AIGUAFREDA;104
BARCELONA;8003;ALELLA;252
BARCELONA;8004;ALPENS;8
BARCELONA;8005;AMETLLA DEL VALLES, L';268
BARCELONA;8006;ARENYS DE MAR;770
BARCELONA;8007;ARENYS DE MUNT;406
BARCELONA;8008;ARGENsOLA;7
BARCELONA;8009;ARGENTONA;546
BARCELONA;8010;ARTES;253
BARCELONA;8011;AVIA;65
BARCELONA;8012;AVINYO;82
BARCELONA;8013;AVINYONET DEL PENEDES;74
BARCELONA;8015;BADALONA;13603
BARCELONA;8904;BADIA DEL VALLES;1115
BARCELONA;8016;BAGA;87
BARCELONA;8017;BALENYA;202
BARCELONA;8018;BALSARENY;138
BARCELONA;8252;BARBERA DEL VALLES;1680
BARCELONA;8019;BARCELONA;69047
BARCELONA;8020;BEGUES;222
BARCELONA;8021;BELLPRAT; 
BARCELONA;8022;BERGA;879
BARCELONA;8023;BIGUES I RIELLS;425
BARCELONA;8024;BORREDA;17
BARCELONA;8025;BRUC, EL;72
BARCELONA;8026;BRULL, EL;4
BARCELONA;8027;CABANYES, LES;26
BARCELONA;8028;CABRERA D'ANOIA;114
BARCELONA;8029;CABRERA DE MAR;129
BARCELONA;8030;CABRILS;241
BARCELONA;8031;CALAF;190
BARCELONA;8034;CALDERS;26
BARCELONA;8033;CALDES DE MONTBUI;842
BARCELONA;8032;CALDES D'ESTRAC;154
BARCELONA;8035;CALELLA;1295
BARCELONA;8037;CALLDETENES;72
BARCELONA;8038;CALLUS;95
BARCELONA;8036;CALONGE DE SEGARRA;6
BARCELONA;8039;CAMPINS;19
BARCELONA;8040;CANET DE MAR;771
BARCELONA;8041;CANOVELLES;1254
BARCELONA;8042;CANOVES I SAMALUS;134
BARCELONA;8043;CANYELLES;266
BARCELONA;8044;CAPELLADES;278
BARCELONA;8045;CAPOLAT;1
BARCELONA;8046;CARDEDEU;845
BARCELONA;8047;CARDONA;193
BARCELONA;8048;CARME;44
BARCELONA;8049;CASSERRES;64
BARCELONA;8050;CASTELLAR DEL RIU;3
BARCELONA;8051;CASTELLAR DEL VALLES;971
BARCELONA;8052;CASTELLAR DE N'HUG;6
BARCELONA;8053;CASTELLBELL I EL VILAR;195
BARCELONA;8054;CASTELLBISBAL;554
BARCELONA;8055;CASTELLCIR;29
BARCELONA;8056;CASTELLDEFELS;2700
BARCELONA;8057;CASTELL DE L'ARENY; 
BARCELONA;8058;CASTELLET I LA GORNAL;115
BARCELONA;8059;CASTELLFOLLIT DEL BOIX;12
BARCELONA;8060;CASTELLFOLLIT DE RIUBREGOS;7
BARCELONA;8061;CASTELLGALI;95
BARCELONA;8062;CASTELLNOU DE BAGES;43
BARCELONA;8063;CASTELLOLI;16
BARCELONA;8064;CASTELLTERsOL;91
BARCELONA;8065;CASTELLVI DE LA MARCA;62
BARCELONA;8066;CASTELLVI DE ROSANES;69
BARCELONA;8067;CENTELLES;328
BARCELONA;8268;CERCS;63
BARCELONA;8266;CERDANYOLA DEL VALLES;2581
BARCELONA;8068;CERVELLO;399
