Población extranjera a 1 de enero. Por distritos. 2019
Barcelona
Institut d'Estadística de Catalunya
http://www.idescat.cat/poblacioestrangera/?b=10&lang=es&t=2019
Categoria;(1) Población;Población extranjera. Total;Población extranjera. % vert.;Población extranjera. % sobre (1)
Ciutat Vella;103429;49917;15,58;48,26
Eixample;265910;58395;18,23;21,96
Sants-Montjuïc;184091;39953;12,47;21,70
Les Corts;81974;10648;3,32;12,99
Sarrià-Sant Gervasi;149260;19077;5,95;12,78
Gràcia;121798;21527;6,72;17,67
Horta-Guinardó;171495;25095;7,83;14,63
Nou Barris;170669;31425;9,81;18,41
Sant Andreu;149821;20381;6,36;13,60
Sant Martí;238315;43964;13,72;18,45
Total;1636762;320382;100,00;19,57

